Instance,Algorithm,Gene,Sign,BN_size,score
A1_Bladder,CABEAN[ITC],RAS,0,35,0.0
A1_Bladder,CABEAN[ITC],RAS,1,35,0.0
A1_Bladder,CABEAN[ITC],RB1,0,35,0.0
A1_Bladder,CABEAN[ITC],RB1,1,35,0.0
A1_Bladder,CABEAN[ITC],RBL2,0,35,0.0
A1_Bladder,CABEAN[ITC],RBL2,1,35,0.0
A1_Bladder,CABEAN[ITC],SPRY,0,35,0.0
A1_Bladder,CABEAN[ITC],SPRY,1,35,0.0
A1_Bladder,CABEAN[ITC],TP53,0,35,0.0
A1_Bladder,CABEAN[ITC],TP53,1,35,0.0
A1_Bladder,CABEAN[ITC],p14ARF,0,35,0.0
A1_Bladder,CABEAN[ITC],p14ARF,1,35,0.0
A1_Bladder,CABEAN[ITC],p16INK4a,0,35,0.0
A1_Bladder,CABEAN[ITC],p16INK4a,1,35,0.0
A1_Bladder,CABEAN[ITC],p21CIP,0,35,0.0
A1_Bladder,CABEAN[ITC],p21CIP,1,35,0.0
A1_Bladder,CABEAN[PTC],AKT,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],AKT,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],ATM_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],ATM_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],ATM_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],ATM_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],Apoptosis_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],Apoptosis_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],Apoptosis_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],Apoptosis_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CDC25A,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CDC25A,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CHEK1_2_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CHEK1_2_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CHEK1_2_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CHEK1_2_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CyclinA,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CyclinA,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CyclinD1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CyclinD1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CyclinE1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],CyclinE1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],DNAdamage,0,35,0.0
A1_Bladder,CABEAN[PTC],DNAdamage,1,35,0.029411764705882353
A1_Bladder,CABEAN[PTC],E2F1_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],E2F1_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],E2F1_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],E2F1_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],E2F3_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],E2F3_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],E2F3_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],E2F3_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],EGFR,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],EGFR,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],EGFR_stimulus,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],EGFR_stimulus,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],FGFR3,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],FGFR3,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],FGFR3_stimulus,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],FGFR3_stimulus,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],GRB2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],GRB2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],GrowthInhibitors,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],GrowthInhibitors,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],Growth_Arrest,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],Growth_Arrest,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],MDM2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],MDM2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],PI3K,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],PI3K,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],PTEN,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],PTEN,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],Proliferation,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],Proliferation,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],RAS,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],RAS,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],RB1,0,35,0.00022281639928698754
A1_Bladder,CABEAN[PTC],RB1,1,35,0.014705882352941176
A1_Bladder,CABEAN[PTC],RBL2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],RBL2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],SPRY,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],SPRY,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],TP53,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],TP53,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],p14ARF,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],p14ARF,1,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],p16INK4a,0,35,0.014705882352941176
A1_Bladder,CABEAN[PTC],p16INK4a,1,35,0.00022281639928698754
A1_Bladder,CABEAN[PTC],p21CIP,0,35,0.00044563279857397507
A1_Bladder,CABEAN[PTC],p21CIP,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],AKT,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],AKT,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],ATM_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],ATM_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],ATM_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],ATM_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],Apoptosis_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],Apoptosis_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],Apoptosis_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],Apoptosis_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CDC25A,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CDC25A,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CHEK1_2_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CHEK1_2_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CHEK1_2_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CHEK1_2_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CyclinA,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CyclinA,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CyclinD1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CyclinD1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CyclinE1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],CyclinE1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],DNAdamage,0,35,0.0
A1_Bladder,CABEAN[TTC],DNAdamage,1,35,0.029411764705882353
A1_Bladder,CABEAN[TTC],E2F1_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],E2F1_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],E2F1_b2,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],E2F1_b2,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],E2F3_b1,0,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],E2F3_b1,1,35,0.00044563279857397507
A1_Bladder,CABEAN[TTC],E2F3_b2,0,35,0.00044563279857397507
